NU_ANO_CENSO;NO_REGIAO_IES;CO_REGIAO_IES;NO_UF_IES;SG_UF_IES;CO_UF_IES;NO_MUNICIPIO_IES;CO_MUNICIPIO_IES;IN_CAPITAL_IES;NO_MESORREGIAO_IES;CO_MESORREGIAO_IES;NO_MICRORREGIAO_IES;CO_MICRORREGIAO_IES;TP_ORGANIZACAO_ACADEMICA;TP_CATEGORIA_ADMINISTRATIVA;NO_MANTENEDORA;CO_MANTENEDORA;CO_IES;NO_IES;SG_IES;DS_ENDERECO_IES;DS_NUMERO_ENDERECO_IES;DS_COMPLEMENTO_ENDERECO_IES;NO_BAIRRO_IES;NU_CEP_IES;QT_TEC_TOTAL;QT_TEC_FUNDAMENTAL_INCOMP_FEM;QT_TEC_FUNDAMENTAL_INCOMP_MASC;QT_TEC_FUNDAMENTAL_COMP_FEM;QT_TEC_FUNDAMENTAL_COMP_MASC;QT_TEC_MEDIO_FEM;QT_TEC_MEDIO_MASC;QT_TEC_SUPERIOR_FEM;QT_TEC_SUPERIOR_MASC;QT_TEC_ESPECIALIZACAO_FEM;QT_TEC_ESPECIALIZACAO_MASC;QT_TEC_MESTRADO_FEM;QT_TEC_MESTRADO_MASC;QT_TEC_DOUTORADO_FEM;QT_TEC_DOUTORADO_MASC;IN_ACESSO_PORTAL_CAPES;IN_ACESSO_OUTRAS_BASES;IN_ASSINA_OUTRA_BASE;IN_REPOSITORIO_INSTITUCIONAL;IN_BUSCA_INTEGRADA;IN_SERVICO_INTERNET;IN_PARTICIPA_REDE_SOCIAL;IN_CATALOGO_ONLINE;QT_PERIODICO_ELETRONICO;QT_LIVRO_ELETRONICO;QT_DOC_TOTAL;QT_DOC_EXE;QT_DOC_EX_FEMI;QT_DOC_EX_MASC;QT_DOC_EX_SEM_GRAD;QT_DOC_EX_GRAD;QT_DOC_EX_ESP;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_DOC_EX_INT_SEM_DE;QT_DOC_EX_PARC;QT_DOC_EX_HOR;QT_DOC_EX_0_29;QT_DOC_EX_30_34;QT_DOC_EX_35_39;QT_DOC_EX_40_44;QT_DOC_EX_45_49;QT_DOC_EX_50_54;QT_DOC_EX_55_59;QT_DOC_EX_60_MAIS;QT_DOC_EX_BRANCA;QT_DOC_EX_PRETA;QT_DOC_EX_PARDA;QT_DOC_EX_AMARELA;QT_DOC_EX_INDIGENA;QT_DOC_EX_COR_ND;QT_DOC_EX_BRA;QT_DOC_EX_EST;QT_DOC_EX_COM_DEFICIENCIA
2020;Centro-Oeste;5;Mato Grosso;MT;51;Cuiabá;5103403;1;Centro-Sul Mato-grossense;4;Cuiabá;17;1;1;FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO;1;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Avenida Fernando Correa da Costa;2367;Cidade Universitária;Boa Esperança;78060900;1407;1;23;4;17;48;83;131;174;343;299;147;86;28;23;1;0;1;1;1;1;1;1;0;0;1756;1494;722;772;0;125;82;174;1113;1446;1153;293;48;0;61;221;286;287;195;142;125;177;890;64;348;38;6;148;1460;34;2
2020;Centro-Oeste;5;Distrito Federal;DF;53;Brasília;5300108;1;Distrito Federal;1;Brasília;1;1;1;FUNDACAO UNIVERSIDADE DE BRASILIA;2;2;UNIVERSIDADE DE BRASÍLIA;UNB;Campus Universitário Darcy Ribeiro;s/n;-;Asa Norte;70910900;3204;0;0;6;32;165;205;276;326;784;697;338;257;70;48;1;0;1;1;1;1;1;1;21099;384351;2958;2769;1269;1500;0;8;20;259;2482;2595;2369;226;174;0;50;198;407;491;420;375;383;445;1741;87;439;60;5;437;2617;152;6
2020;Nordeste;2;Sergipe;SE;28;São Cristóvão;2806701;0;Leste Sergipano;3;Aracaju;11;1;1;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;3;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Avenida Marechal Rondon;s/n;-;Jardim Rosa Elze;49100000;1426;0;29;5;20;87;112;663;485;0;0;11;10;3;1;1;0;1;1;1;1;1;1;49339;277917;1846;1771;843;928;0;103;0;284;1384;1550;1389;161;221;0;71;185;341;340;285;228;170;151;159;30;254;5;2;1321;1744;27;4
2020;Norte;1;Amazonas;AM;13;Manaus;1302603;1;Centro Amazonense;3;Manaus;7;1;1;FUNDACAO UNIVERSIDADE DO AMAZONAS;4;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Av. Rodrigo Otávio;6200;Campus Universitário;Coroado II;69077000;1669;6;6;3;16;124;167;201;224;394;258;127;100;21;22;1;0;1;1;1;1;1;0;49000;3212;1778;1753;803;950;0;97;122;469;1065;1659;1388;271;94;0;91;200;303;299;247;226;202;185;53;7;64;2;4;1623;1752;1;0
2020;Nordeste;2;Piauí;PI;22;Teresina;2211001;1;Centro-Norte Piauiense;2;Teresina;3;1;1;FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI;14054;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Campus Universitário Ministro Petrônio Portela;s/n;SG - 07;Ininga;64049550;1156;5;34;1;22;31;84;112;121;245;222;126;94;27;32;1;0;0;1;1;1;1;1;55;100;1411;1411;690;721;0;5;78;281;1047;1310;1155;155;100;1;30;168;265;274;183;135;143;213;99;39;182;0;2;1089;1411;0;0
2020;Sudeste;3;Minas Gerais;MG;31;Ouro Preto;3146107;0;Metropolitana de Belo Horizonte;7;Ouro Preto;33;1;1;UNIVERSIDADE FEDERAL DE OURO PRETO;6;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Rua Diogo de Vasconcelos;122;-;Centro;35400000;719;4;24;3;14;25;57;44;93;95;117;112;89;25;17;1;0;1;1;0;0;0;0;0;18764;910;845;330;515;0;2;17;96;730;840;782;58;5;0;16;82;187;200;95;109;93;63;392;23;138;5;1;286;842;3;2
2020;Sudeste;3;São Paulo;SP;35;São Carlos;3548906;0;Araraquara;5;São Carlos;25;1;1;FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS;1302;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Via Washington  Luis;Km 235;S/Nº;Monjolinho;13565905;976;17;22;10;13;10;57;79;112;169;157;133;95;58;44;1;0;1;1;0;1;1;1;47846;324629;1345;1324;589;735;0;1;3;53;1267;1267;1234;33;57;0;12;82;242;245;217;170;173;183;746;14;66;28;2;468;1295;29;7
2020;Sudeste;3;Minas Gerais;MG;31;Viçosa;3171303;0;Zona da Mata;12;Viçosa;62;1;1;UNIVERSIDADE FEDERAL DE VICOSA;15588;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Av. P.H. Rolfs;s/n;Campus Universitário;Campus Universitário;36570000;2056;4;114;2;32;27;335;88;191;326;484;183;172;55;43;1;0;0;1;1;1;1;1;0;10397;1289;1289;526;763;0;44;19;128;1098;1265;1140;125;24;0;48;151;250;252;149;133;165;141;392;23;100;3;0;771;1266;23;0
2020;Sul;4;Paraná;PR;41;Londrina;4113700;0;Norte Central Paranaense;3;Londrina;11;1;2;SECRET DE EST CIENCIA TECNOLOGIA E ENSINO SUPERIOR SETI;37;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Rodovia Celso Garcia Cid Pr 445 Km 380;-;UEL - CAMPUS UNIVERSITÁRIO;Campus Universitário;86057970;781;0;6;1;5;61;71;149;173;131;88;32;40;7;17;1;0;1;1;0;1;1;1;0;2568;1801;1795;924;871;0;19;81;356;1339;1265;1006;259;524;6;54;190;250;266;253;263;265;254;1468;22;129;87;2;87;1777;18;58
2020;Sul;4;Paraná;PR;41;Curitiba;4106902;1;Metropolitana de Curitiba;10;Curitiba;37;1;5;ASSOCIACAO PARANAENSE DE CULTURA - APC;10;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Rua Imaculada Conceição;1155;-;Prado Velho;80215901;1212;6;4;11;11;245;183;355;150;129;71;18;20;5;4;1;0;1;0;1;1;1;1;58120;25305;1339;1339;574;765;0;4;70;570;695;440;0;440;630;269;27;114;195;249;211;213;156;174;784;15;42;35;1;462;1333;6;10
